Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,From,Task
NoGrA3ruGr,Notebook Graph A3 ruled Grey,Notebook,Graph,A3,ruled,Grey,48*10*5,2400,BH67H,Amy,Receive,Put away
LaYn1516Gr,"Laptop Ynos 15"" 16GB RAM Grey",Laptop,Ynos,"15""",16GB RAM,Grey,16*1*1,16,DI96A,John,Receive,Put away
PeRe12SoWh,Pencil Reldeats 12 Soluble White,Pencil,Reldeats,12,Soluble,White,48*10*5,2400,BU43F,Sarah,Receive,Put away
TaTR15AuWh,Table TRAMA 1500 Auto Adjustable White,Table,TRAMA,1500,Auto Adjustable,White,8*1*1,8,DM66B,Mike,Receive,Put away
AlOv178GGr,"All-in-one Ovonel 17"" 8GB RAM Grey",All-in-one,Ovonel,"17""",8GB RAM,Grey,16*1*1,16,AY83C,John,Receive,Put away
CaWE90LoWh,Cabinet WENO 900 Locker White,Cabinet,WENO,900,Locker,White,8*1*1,8,CK97H,Amy,Receive,Put away
PeRe12SoBl,Pencil Reldeats 12 Soluble Black,Pencil,Reldeats,12,Soluble,Black,48*10*5,2400,AF05E,Laura,Receive,Put away
PeAl24HeWh,Pencil Aloyarc 24 Hexagonal White,Pencil,Aloyarc,24,Hexagonal,White,48*10*5,2400,BR84B,Jane,Receive,Put away
GaXEMHePi,Gaming Chair XENO M Head pillow Pink,Gaming Chair,XENO,M,Head pillow,Pink,16*1*1,16,DG14A,Chris,Receive,Put away
CaRG18LoBl,Cabinet RGAP 1800 Locker Black,Cabinet,RGAP,1800,Locker,Black,8*1*1,8,CO64D,John,Receive,Put away
TVEs42SFGr,"TV Esnesih 42"" SFHD Grey",TV,Esnesih,"42""",SFHD,Grey,8*1*1,8,BG47H,Amy,Receive,Put away
DrTE18DoGr,Drawer TEWOL 1800 Door Grey,Drawer,TEWOL,1800,Door,Grey,8*1*1,8,CH50A,Emily,Receive,Put away
SPRe12WaBl,SPen Reldeats 12 Watercolour Black,SPen,Reldeats,12,Watercolour,Black,48*10*5,2400,DW54D,Chris,Receive,Put away
