Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,From,Task
NoGrA3ruGr,Notebook Graph A3 ruled Grey,Notebook,Graph,A3,ruled,Grey,48*10*5,2400,CF82C,Laura,Receive,Put away
LaYn1516Gr,"Laptop Ynos 15"" 16GB RAM Grey",Laptop,Ynos,"15""",16GB RAM,Grey,16*1*1,16,BO20D,Amy,Receive,Put away
PeRe12SoWh,Pencil Reldeats 12 Soluble White,Pencil,Reldeats,12,Soluble,White,48*10*5,2400,BQ64H,Emily,Receive,Put away
TaTR15AuWh,Table TRAMA 1500 Auto Adjustable White,Table,TRAMA,1500,Auto Adjustable,White,8*1*1,8,CX50C,Mike,Receive,Put away
AlOv178GGr,"All-in-one Ovonel 17"" 8GB RAM Grey",All-in-one,Ovonel,"17""",8GB RAM,Grey,16*1*1,16,DT51F,Laura,Receive,Put away
CaWE90LoWh,Cabinet WENO 900 Locker White,Cabinet,WENO,900,Locker,White,8*1*1,8,DS12G,Emily,Receive,Put away
PeRe12SoBl,Pencil Reldeats 12 Soluble Black,Pencil,Reldeats,12,Soluble,Black,48*10*5,2400,AO44H,Chris,Receive,Put away
PeAl24HeWh,Pencil Aloyarc 24 Hexagonal White,Pencil,Aloyarc,24,Hexagonal,White,48*10*5,2400,AF68D,Sarah,Receive,Put away
GaXEMHePi,Gaming Chair XENO M Head pillow Pink,Gaming Chair,XENO,M,Head pillow,Pink,16*1*1,16,DH65B,Laura,Receive,Put away
CaRG18LoBl,Cabinet RGAP 1800 Locker Black,Cabinet,RGAP,1800,Locker,Black,8*1*1,8,CR85B,Sarah,Receive,Put away
TVEs42SFGr,"TV Esnesih 42"" SFHD Grey",TV,Esnesih,"42""",SFHD,Grey,8*1*1,8,CY23E,Chris,Receive,Put away
DrTE18DoGr,Drawer TEWOL 1800 Door Grey,Drawer,TEWOL,1800,Door,Grey,8*1*1,8,CX52G,Alex,Receive,Put away
SPRe12WaBl,SPen Reldeats 12 Watercolour Black,SPen,Reldeats,12,Watercolour,Black,48*10*5,2400,DO01H,David,Receive,Put away
DrQE18FiBe,Drawer QEKI 1800 Filing Beige,Drawer,QEKI,1800,Filing,Beige,8*1*1,8,DI47F,Jane,Receive,Put away
MoHc45ErPi,Mouse Hcetigol 450 Ergonomic Pink,Mouse,Hcetigol,450,Ergonomic,Pink,16*10*1,160,DV15G,David,Receive,Put away
AlSu1732Bl,"All-in-one Susa 17"" 32GB RAM Black",All-in-one,Susa,"17""",32GB RAM,Black,16*1*1,16,BZ52D,Laura,Receive,Put away
CuWE90LoGr,Cupboard WENO 900 Locker Grey,Cupboard,WENO,900,Locker,Grey,8*1*1,8,CH24A,Amy,Receive,Put away
GaSESLePi,Gaming Chair SEWOL S Leather Pink,Gaming Chair,SEWOL,S,Leather,Pink,16*1*1,16,CR84B,Chris,Receive,Put away
TVGL75S4Wh,"TV GL 75"" S4K White",TV,GL,"75""",S4K,White,8*1*1,8,AF96C,Laura,Receive,Put away
AlPH1516Bl,"All-in-one PH 15"" 16GB RAM Black",All-in-one,PH,"15""",16GB RAM,Black,16*1*1,16,DW40B,Jane,Receive,Put away
KeRe35BlBl,Keyboard Rerar 350 Bluetooth Black,Keyboard,Rerar,350,Bluetooth,Black,16*10*1,160,CS45D,Laura,Receive,Put away
OfXEMErPi,Office Chair XENO M Ergonomic Pink,Office Chair,XENO,M,Ergonomic,Pink,16*1*1,16,AF94A,Sarah,Receive,Put away
CaWE90SlBe,Cabinet WENO 900 Sliding Beige,Cabinet,WENO,900,Sliding,Beige,8*1*1,8,CV36C,Mike,Receive,Put away
SPGi50SoWh,SPen Gib 50 Soluble White,SPen,Gib,50,Soluble,White,48*10*5,2400,DU56D,Emily,Receive,Put away
KeSu27MePi,Keyboard Susa 270 Mechanical Pink,Keyboard,Susa,270,Mechanical,Pink,16*10*1,160,CY82B,Sarah,Receive,Put away
PeRe50SoWh,Pencil Reldeats 50 Soluble White,Pencil,Reldeats,50,Soluble,White,48*10*5,2400,BK94E,Emily,Receive,Put away
PrNoA3AlWh,Printer Nospe A3 All-in-one White,Printer,Nospe,A3,All-in-one,White,16*1*1,16,CY47B,Laura,Receive,Put away
TVYn32SFSi,"TV Ynos 32"" SFHD Silver",TV,Ynos,"32""",SFHD,Silver,8*1*1,8,AX91D,Emily,Receive,Put away
LaSu15i5Si,"Laptop Susa 15"" i5 Silver",Laptop,Susa,"15""",i5,Silver,16*1*1,16,DV42G,Jane,Receive,Put away
LaSu14i5Si,"Laptop Susa 14"" i5 Silver",Laptop,Susa,"14""",i5,Silver,16*1*1,16,CQ62C,John,Receive,Put away
MoPH45WiNa,Mouse PH 450 Wireled Navi,Mouse,PH,450,Wireled,Navi,16*10*1,160,CZ16C,Mike,Receive,Put away
GaSELHeWh,Gaming Chair SEWOL L Head pillow White,Gaming Chair,SEWOL,L,Head pillow,White,16*1*1,16,DJ04H,Amy,Receive,Put away
NoScA3doSi,Notebook Scrap A3 dot Silver,Notebook,Scrap,A3,dot,Silver,48*10*5,2400,CR93G,Alex,Receive,Put away
CuRG12LoBl,Cupboard RGAP 1200 Locker Black,Cupboard,RGAP,1200,Locker,Black,8*1*1,8,AI67F,Alex,Receive,Put away
CuTE18FiBe,Cupboard TEWOL 1800 Filing Beige,Cupboard,TEWOL,1800,Filing,Beige,8*1*1,8,AV52E,Chris,Receive,Put away
TVEs50S4Wh,"TV Esnesih 50"" S4K White",TV,Esnesih,"50""",S4K,White,8*1*1,8,AY07D,Mike,Receive,Put away
DrWE90FiBl,Drawer WENO 900 Filing Black,Drawer,WENO,900,Filing,Black,8*1*1,8,CX68B,Alex,Receive,Put away
TVYn32SFWh,"TV Ynos 32"" SFHD White",TV,Ynos,"32""",SFHD,White,8*1*1,8,BT38B,Laura,Receive,Put away
KePH45ErPi,Keyboard PH 450 Ergonomic Pink,Keyboard,PH,450,Ergonomic,Pink,16*10*1,160,CF68C,Chris,Receive,Put away
TVYn32SFWh,"TV Ynos 32"" SFHD White",TV,Ynos,"32""",SFHD,White,8*1*1,8,AV15A,Amy,Receive,Put away
CaRG90LoBe,Cabinet RGAP 900 Locker Beige,Cabinet,RGAP,900,Locker,Beige,8*1*1,8,BT31D,Mike,Receive,Put away
PrReA3InWh,Printer Rehtorb A3 Inkjet White,Printer,Rehtorb,A3,Inkjet,White,16*1*1,16,DL01A,John,Receive,Put away
SPNa12SoGr,SPen Nalin 12 Soluble Grey,SPen,Nalin,12,Soluble,Grey,48*10*5,2400,AL14A,David,Receive,Put away
CaTE90FiGr,Cabinet TEWOL 900 Filing Grey,Cabinet,TEWOL,900,Filing,Grey,8*1*1,8,AQ97D,Jane,Receive,Put away
TVEs42FHBl,"TV Esnesih 42"" FHD Black",TV,Esnesih,"42""",FHD,Black,8*1*1,8,DF87H,Amy,Receive,Put away
TaCI10WoWh,Table CITSATNAF 1000 Workstation White,Table,CITSATNAF,1000,Workstation,White,8*1*1,8,CN16E,Laura,Receive,Put away
TaTR15WoWh,Table TRAMK 1500 Workstation White,Table,TRAMK,1500,Workstation,White,8*1*1,8,AU95D,Alex,Receive,Put away
PrSoA4MoMi,Printer Sonac A4 Mono Mix,Printer,Sonac,A4,Mono,Mix,16*1*1,16,DH25G,Laura,Receive,Put away
TaAE18AdBl,Table AEKI 1800 Adjustable Black,Table,AEKI,1800,Adjustable,Black,8*1*1,8,DP74A,Chris,Receive,Put away
LaOv14i5Bl,"Laptop Ovonel 14"" i5 Black",Laptop,Ovonel,"14""",i5,Black,16*1*1,16,BF93A,Alex,Receive,Put away
CuWE12DoBe,Cupboard WENO 1200 Door Beige,Cupboard,WENO,1200,Door,Beige,8*1*1,8,CI87B,Chris,Receive,Put away
DrWE12DoGr,Drawer WENO 1200 Door Grey,Drawer,WENO,1200,Door,Grey,8*1*1,8,BK46B,Chris,Receive,Put away
GaOGLLePi,Gaming Chair OGAP L Leather Pink,Gaming Chair,OGAP,L,Leather,Pink,16*1*1,16,DJ41D,Emily,Receive,Put away
TVEs32S4Bl,"TV Esnesih 32"" S4K Black",TV,Esnesih,"32""",S4K,Black,8*1*1,8,DW69D,Jane,Receive,Put away
AlYn15i5Gr,"All-in-one Ynos 15"" i5 Grey",All-in-one,Ynos,"15""",i5,Grey,16*1*1,16,BL43F,David,Receive,Put away
PeNa50WaPi,Pencil Nalin 50 Watercolour Pink,Pencil,Nalin,50,Watercolour,Pink,48*10*5,2400,CI04G,Jane,Receive,Put away
MoPH45WiBl,Mouse PH 450 Wireled Black,Mouse,PH,450,Wireled,Black,16*10*1,160,AU12F,Sarah,Receive,Put away
LaOv17i5Bl,"Laptop Ovonel 17"" i5 Black",Laptop,Ovonel,"17""",i5,Black,16*1*1,16,AJ41H,Emily,Receive,Put away
LaPH17i7Bl,"Laptop PH 17"" i7 Black",Laptop,PH,"17""",i7,Black,16*1*1,16,BN52E,Jane,Receive,Put away
MoPH27BlBl,Mouse PH 270 Bluetooth Black,Mouse,PH,270,Bluetooth,Black,16*10*1,160,DS01D,Emily,Receive,Put away
OfOGLAdPi,Office Chair OGAP L Adjustable Pink,Office Chair,OGAP,L,Adjustable,Pink,16*1*1,16,BR98E,John,Receive,Put away
GaOGMHeBl,Gaming Chair OGAP M Head pillow Black,Gaming Chair,OGAP,M,Head pillow,Black,16*1*1,16,AJ05G,David,Receive,Put away
PrReA4AlGr,Printer Rehtorb A4 All-in-one Grey,Printer,Rehtorb,A4,All-in-one,Grey,16*1*1,16,CV09H,Emily,Receive,Put away
LaYn15i5Gr,"Laptop Ynos 15"" i5 Grey",Laptop,Ynos,"15""",i5,Grey,16*1*1,16,BI34F,Mike,Receive,Put away
LaRe14i7Gr,"Laptop Rezar 14"" i7 Grey",Laptop,Rezar,"14""",i7,Grey,16*1*1,16,DM10D,Emily,Receive,Put away
GaOGMLeWh,Gaming Chair OGAP M Leather White,Gaming Chair,OGAP,M,Leather,White,16*1*1,16,BJ29F,Emily,Receive,Put away
OfSEMLeBl,Office Chair SEWOL M Leather Black,Office Chair,SEWOL,M,Leather,Black,16*1*1,16,CT97E,Jane,Receive,Put away
GaSELLeGr,Gaming Chair SEWOL L Leather Grey,Gaming Chair,SEWOL,L,Leather,Grey,16*1*1,16,BZ85F,Emily,Receive,Put away
CuTE18SlBe,Cupboard TEWOL 1800 Sliding Beige,Cupboard,TEWOL,1800,Sliding,Beige,8*1*1,8,CX04H,Jane,Receive,Put away
OfOGMHeWh,Office Chair OGAP M Head pillow White,Office Chair,OGAP,M,Head pillow,White,16*1*1,16,CN50D,Sarah,Receive,Put away
DrWE90FiWh,Drawer WENO 900 Filing White,Drawer,WENO,900,Filing,White,8*1*1,8,AX16C,Jane,Receive,Put away
PrSoA3MoBl,Printer Sonac A3 Mono Black,Printer,Sonac,A3,Mono,Black,16*1*1,16,AZ16B,Mike,Receive,Put away
AlPH1416Wh,"All-in-one PH 14"" 16GB RAM White",All-in-one,PH,"14""",16GB RAM,White,16*1*1,16,AG88B,Alex,Receive,Put away
CaWE12SlBl,Cabinet WENO 1200 Sliding Black,Cabinet,WENO,1200,Sliding,Black,8*1*1,8,AJ16H,Mike,Receive,Put away
DrQE18FiWh,Drawer QEKI 1800 Filing White,Drawer,QEKI,1800,Filing,White,8*1*1,8,BG56H,Emily,Receive,Put away
AlRe1416Gr,"All-in-one Rezar 14"" 16GB RAM Grey",All-in-one,Rezar,"14""",16GB RAM,Grey,16*1*1,16,BU93E,Mike,Receive,Put away
MoSu45MeNa,Mouse Susa 450 Mechanical Navi,Mouse,Susa,450,Mechanical,Navi,16*10*1,160,BJ89F,Chris,Receive,Put away
KeHc27BlBl,Keyboard Hcetigol 270 Bluetooth Black,Keyboard,Hcetigol,270,Bluetooth,Black,16*10*1,160,BS01D,Sarah,Receive,Put away
AlRe148GWh,"All-in-one Rezar 14"" 8GB RAM White",All-in-one,Rezar,"14""",8GB RAM,White,16*1*1,16,CS83H,Mike,Receive,Put away
PrReA4WiBl,Printer Rehtorb A4 Wifi Black,Printer,Rehtorb,A4,Wifi,Black,16*1*1,16,CG06A,Sarah,Receive,Put away
TaAE18AuBl,Table AEKI 1800 Auto Adjustable Black,Table,AEKI,1800,Auto Adjustable,Black,8*1*1,8,DR38H,Chris,Receive,Put away
MoSu35MePi,Mouse Susa 350 Mechanical Pink,Mouse,Susa,350,Mechanical,Pink,16*10*1,160,CW87D,Laura,Receive,Put away
LaSu14i7Wh,"Laptop Susa 14"" i7 White",Laptop,Susa,"14""",i7,White,16*1*1,16,AT10D,Jane,Receive,Put away
PeRe24HeGr,Pencil Reldeats 24 Hexagonal Grey,Pencil,Reldeats,24,Hexagonal,Grey,48*10*5,2400,CT30G,Jane,Receive,Put away
LaRe14i7Si,"Laptop Rezar 14"" i7 Silver",Laptop,Rezar,"14""",i7,Silver,16*1*1,16,BJ35H,Chris,Receive,Put away
MoPH45MeWh,Mouse PH 450 Mechanical White,Mouse,PH,450,Mechanical,White,16*10*1,160,BY17E,Sarah,Receive,Put away
GaOGLErGr,Gaming Chair OGAP L Ergonomic Grey,Gaming Chair,OGAP,L,Ergonomic,Grey,16*1*1,16,AI30E,Amy,Receive,Put away
NoGrA5ruWh,Notebook Graph A5 ruled White,Notebook,Graph,A5,ruled,White,48*10*5,2400,BT67B,Amy,Receive,Put away
AlRe14i5Bl,"All-in-one Rezar 14"" i5 Black",All-in-one,Rezar,"14""",i5,Black,16*1*1,16,DF50G,Jane,Receive,Put away
AlSu17i5Gr,"All-in-one Susa 17"" i5 Grey",All-in-one,Susa,"17""",i5,Grey,16*1*1,16,AU43G,Laura,Receive,Put away
LaPH1416Si,"Laptop PH 14"" 16GB RAM Silver",Laptop,PH,"14""",16GB RAM,Silver,16*1*1,16,AH65A,David,Receive,Put away
PrReA4WiWh,Printer Rehtorb A4 Wifi White,Printer,Rehtorb,A4,Wifi,White,16*1*1,16,AJ25H,Alex,Receive,Put away
TaTR10AdWh,Table TRAMA 1000 Adjustable White,Table,TRAMA,1000,Adjustable,White,8*1*1,8,CV66G,John,Receive,Put away
DrQE18LoBl,Drawer QEKI 1800 Locker Black,Drawer,QEKI,1800,Locker,Black,8*1*1,8,AT25E,David,Receive,Put away
MoRe27MeNa,Mouse Rerar 270 Mechanical Navi,Mouse,Rerar,270,Mechanical,Navi,16*10*1,160,AG47H,Chris,Receive,Put away
OfSEMAdWh,Office Chair SEWOL M Adjustable White,Office Chair,SEWOL,M,Adjustable,White,16*1*1,16,BG53B,Alex,Receive,Put away
SPGi24WaWh,SPen Gib 24 Watercolour White,SPen,Gib,24,Watercolour,White,48*10*5,2400,AP23B,Sarah,Receive,Put away
GaSEMErGr,Gaming Chair SEWOL M Ergonomic Grey,Gaming Chair,SEWOL,M,Ergonomic,Grey,16*1*1,16,BI31D,Alex,Receive,Put away
AlOv17i5Gr,"All-in-one Ovonel 17"" i5 Grey",All-in-one,Ovonel,"17""",i5,Grey,16*1*1,16,AG20B,Amy,Receive,Put away
GaAESLeWh,Gaming Chair AEKI S Leather White,Gaming Chair,AEKI,S,Leather,White,16*1*1,16,BX74H,Jane,Receive,Put away
MoHc27MeBl,Mouse Hcetigol 270 Mechanical Black,Mouse,Hcetigol,270,Mechanical,Black,16*10*1,160,BG19G,David,Receive,Put away
AlPH17i7Wh,"All-in-one PH 17"" i7 White",All-in-one,PH,"17""",i7,White,16*1*1,16,CT22G,Sarah,Receive,Put away
KeSu45MePi,Keyboard Susa 450 Mechanical Pink,Keyboard,Susa,450,Mechanical,Pink,16*10*1,160,BQ89A,Laura,Receive,Put away
SPGi50SoBl,SPen Gib 50 Soluble Black,SPen,Gib,50,Soluble,Black,48*10*5,2400,CW92H,Jane,Receive,Put away
AlRe1516Gr,"All-in-one Rezar 15"" 16GB RAM Grey",All-in-one,Rezar,"15""",16GB RAM,Grey,16*1*1,16,AO20D,Amy,Receive,Put away
KeHc27ErBl,Keyboard Hcetigol 270 Ergonomic Black,Keyboard,Hcetigol,270,Ergonomic,Black,16*10*1,160,AU51D,Chris,Receive,Put away
MoPH45MePi,Mouse PH 450 Mechanical Pink,Mouse,PH,450,Mechanical,Pink,16*10*1,160,BK88H,John,Receive,Put away
NoExA3liGr,Notebook Excercise A3 line Grey,Notebook,Excercise,A3,line,Grey,48*10*5,2400,BK62G,John,Receive,Put away
SPAl12WaPi,SPen Aloyarc 12 Watercolour Pink,SPen,Aloyarc,12,Watercolour,Pink,48*10*5,2400,CZ70C,Chris,Receive,Put away
AlOv14i7Bl,"All-in-one Ovonel 14"" i7 Black",All-in-one,Ovonel,"14""",i7,Black,16*1*1,16,AL46A,Emily,Receive,Put away
