Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,To,Customer,Task
KeSu45BlBl,Keyboard Susa 450 Bluetooth Black,Keyboard,Susa,450,Bluetooth,Black,16*10*1,160,AK12A,Chris,Despatch,30077,Pick
NoExA3liGr,Notebook Excercise A3 line Grey,Notebook,Excercise,A3,line,Grey,48*10*5,2400,AL35G,Amy,Despatch,30096,Pick
GaXEMErBl,Gaming Chair XENO M Ergonomic Black,Gaming Chair,XENO,M,Ergonomic,Black,16*1*1,10,AT85F,Jane,Despatch,30076,Pick
AlYn158GBl,"All-in-one Ynos 15"" 8GB RAM Black",All-in-one,Ynos,"15""",8GB RAM,Black,16*1*1,16,DK24C,Sarah,Despatch,30041,Pick
TVYn65S4Bl,"TV Ynos 65"" S4K Black",TV,Ynos,"65""",S4K,Black,8*1*1,2,BN82E,Amy,Despatch,30054,Pick
PrNoA2LaWh,Printer Nospe A2 Laser White,Printer,Nospe,A2,Laser,White,16*1*1,16,BX75B,Amy,Despatch,30094,Pick
PrReA4LaMi,Printer Rehtorb A4 Laser Mix,Printer,Rehtorb,A4,Laser,Mix,16*1*1,6,BZ68D,Alex,Despatch,30093,Pick
OfOGMLeGr,Office Chair OGAP M Leather Grey,Office Chair,OGAP,M,Leather,Grey,16*1*1,16,AZ10F,Amy,Despatch,30028,Pick
KePH35WiPi,Keyboard PH 350 Wireled Pink,Keyboard,PH,350,Wireled,Pink,16*10*1,142,AZ09D,David,Despatch,30035,Pick
CuRG90LoGr,Cupboard RGAP 900 Locker Grey,Cupboard,RGAP,900,Locker,Grey,8*1*1,8,BS07B,Jane,Despatch,30003,Pick
DrTE18FiBl,Drawer TEWOL 1800 Filing Black,Drawer,TEWOL,1800,Filing,Black,8*1*1,8,BM70H,Mike,Despatch,30014,Pick
PrReA3MoWh,Printer Rehtorb A3 Mono White,Printer,Rehtorb,A3,Mono,White,16*1*1,15,CL14E,Jane,Despatch,30063,Pick
LaRe1532Bl,"Laptop Rezar 15"" 32GB RAM Black",Laptop,Rezar,"15""",32GB RAM,Black,16*1*1,5,BS94G,Laura,Despatch,30022,Pick
CuWE90LoBl,Cupboard WENO 900 Locker Black,Cupboard,WENO,900,Locker,Black,8*1*1,1,AP89H,Jane,Despatch,30001,Pick
GaAEMHeBl,Gaming Chair AEKI M Head pillow Black,Gaming Chair,AEKI,M,Head pillow,Black,16*1*1,13,AK64F,Jane,Despatch,30093,Pick
CuTE18LoWh,Cupboard TEWOL 1800 Locker White,Cupboard,TEWOL,1800,Locker,White,8*1*1,8,AN08B,John,Despatch,30092,Pick
TVEs654KBl,"TV Esnesih 65"" 4K Black",TV,Esnesih,"65""",4K,Black,8*1*1,8,AR70G,Emily,Despatch,30019,Pick
SPGi50HeWh,SPen Gib 50 Hexagonal White,SPen,Gib,50,Hexagonal,White,48*10*5,685,DN95E,Mike,Despatch,30029,Pick
TaTR18AdWh,Table TRAMA 1800 Adjustable White,Table,TRAMK,1800,Adjustable,White,8*1*1,4,AQ01F,Sarah,Despatch,30080,Pick
AlSu178GBl,"All-in-one Susa 17"" 8GB RAM Black",All-in-one,Susa,"17""",8GB RAM,Black,16*1*1,7,DU35F,Alex,Despatch,30036,Pick
LaRe17i5Si,"Laptop Rezar 17"" i5 Silver",Laptop,Rezar,"17""",i5,Silver,16*1*1,5,AG93D,Amy,Despatch,30010,Pick
LaPH17i5Si,"Laptop PH 17"" i5 Silver",Laptop,PH,"17""",i5,Silver,16*1*1,16,BH53H,Laura,Despatch,30020,Pick
MoHc35BlBl,Mouse Hcetigol 350 Bluetooth Black,Mouse,Hcetigol,350,Bluetooth,Black,16*10*1,160,CM95D,Mike,Despatch,30055,Pick
TVGL32SFSi,"TV GL 32"" SFHD Silver",TV,GL,"32""",SFHD,Silver,8*1*1,8,AF12D,Alex,Despatch,30095,Pick
GaOGSAdBl,Gaming Chair OGAP S Adjustable Black,Gaming Chair,OGAP,S,Adjustable,Black,16*1*1,7,DT60C,Alex,Despatch,30094,Pick
LaPH15i5Wh,"Laptop PH 15"" i5 White",Laptop,PH,"15""",i5,White,16*1*1,16,CL85B,Alex,Despatch,30065,Pick
AlRe158GGr,"All-in-one Rezar 15"" 8GB RAM Grey",All-in-one,Rezar,"15""",8GB RAM,Grey,16*1*1,16,CR02E,Emily,Despatch,30059,Pick
MoPH45WiBl,Mouse PH 450 Wireled Black,Mouse,PH,450,Wireled,Black,16*10*1,160,DN36G,Amy,Despatch,30097,Pick
GaOGMLeBl,Gaming Chair OGAP M Leather Black,Gaming Chair,OGAP,M,Leather,Black,16*1*1,10,AG68F,Amy,Despatch,30040,Pick
OfSELErPi,Office Chair SEWOL L Ergonomic Pink,Office Chair,SEWOL,L,Ergonomic,Pink,16*1*1,16,AY42E,David,Despatch,30025,Pick
GaXEMLeGr,Gaming Chair XENO M Leather Grey,Gaming Chair,XENO,M,Leather,Grey,16*1*1,16,AO75H,John,Despatch,30011,Pick
DrWE12DoGr,Drawer WENO 1200 Door Grey,Drawer,WENO,1200,Door,Grey,8*1*1,8,DZ24G,Chris,Despatch,30087,Pick
MoSu45ErNa,Mouse Susa 450 Ergonomic Navi,Mouse,Susa,450,Ergonomic,Navi,16*10*1,129,DL93A,Amy,Despatch,30031,Pick
CuRG18LoBe,Cupboard RGAP 1800 Locker Beige,Cupboard,RGAP,1800,Locker,Beige,8*1*1,8,CU76E,Jane,Despatch,30029,Pick
PrReA4LaBl,Printer Rehtorb A4 Laser Black,Printer,Rehtorb,A4,Laser,Black,16*1*1,9,AM22E,Chris,Despatch,30019,Pick
AlPH17i7Wh,"All-in-one PH 17"" i7 White",All-in-one,PH,"17""",i7,White,16*1*1,5,BK70D,Mike,Despatch,30049,Pick
CuQE18LoBe,Cupboard QEKI 1800 Locker Beige,Cupboard,QEKI,1800,Locker,Beige,8*1*1,8,DX83E,John,Despatch,30013,Pick
AlYn14i5Si,"All-in-one Ynos 14"" i5 Silver",All-in-one,Ynos,"14""",i5,Silver,16*1*1,5,DH21H,David,Despatch,30080,Pick
LaOv148GSi,"Laptop Ovonel 14"" 8GB RAM Silver",Laptop,Ovonel,"14""",8GB RAM,Silver,16*1*1,16,DK89F,Laura,Despatch,30007,Pick
KePH27ErWh,Keyboard PH 270 Ergonomic White,Keyboard,PH,270,Ergonomic,White,16*10*1,160,CZ13C,Chris,Despatch,30044,Pick
CuTE12SlBl,Cupboard TEWOL 1200 Sliding Black,Cupboard,TEWOL,1200,Sliding,Black,8*1*1,8,CR32A,Amy,Despatch,30094,Pick
PeAl12HePi,Pencil Aloyarc 12 Hexagonal Pink,Pencil,Aloyarc,12,Hexagonal,Pink,48*10*5,2400,BF50H,Jane,Despatch,30075,Pick
CaRG18SlGr,Cabinet RGAP 1800 Sliding Grey,Cabinet,RGAP,1800,Sliding,Grey,8*1*1,8,BH36B,Amy,Despatch,30068,Pick
CuQE18FiBe,Cupboard QEKI 1800 Filing Beige,Cupboard,QEKI,1800,Filing,Beige,8*1*1,8,DJ58A,David,Despatch,30027,Pick
TVYn324KWh,"TV Ynos 32"" 4K White",TV,Ynos,"32""",4K,White,8*1*1,4,AX10E,Chris,Despatch,30062,Pick
AlPH178GGr,"All-in-one PH 17"" 8GB RAM Grey",All-in-one,PH,"17""",8GB RAM,Grey,16*1*1,9,AY70G,David,Despatch,30015,Pick
AlSu15i5Bl,"All-in-one Susa 15"" i5 Black",All-in-one,Susa,"15""",i5,Black,16*1*1,3,BF82C,Mike,Despatch,30003,Pick
NoScA3liBl,Notebook Scrap A3 line Black,Notebook,Scrap,A3,line,Black,48*10*5,132,AP21C,Emily,Despatch,30089,Pick
MoPH45WiNa,Mouse PH 450 Wireled Navi,Mouse,PH,450,Wireled,Navi,16*10*1,160,BU35E,Chris,Despatch,30014,Pick
KeHc35ErBl,Keyboard Hcetigol 350 Ergonomic Black,Keyboard,Hcetigol,350,Ergonomic,Black,16*10*1,160,CT56E,John,Despatch,30096,Pick
CuQE12LoBl,Cupboard QEKI 1200 Locker Black,Cupboard,QEKI,1200,Locker,Black,8*1*1,8,BT67F,Mike,Despatch,30038,Pick
MoSu27ErWh,Mouse Susa 270 Ergonomic White,Mouse,Susa,270,Ergonomic,White,16*10*1,153,AG59A,David,Despatch,30042,Pick
TVEs654KSi,"TV Esnesih 65"" 4K Silver",TV,Esnesih,"65""",4K,Silver,8*1*1,8,CO24A,David,Despatch,30010,Pick
AlOv158GWh,"All-in-one Ovonel 15"" 8GB RAM White",All-in-one,Ovonel,"15""",8GB RAM,White,16*1*1,11,DF22F,Chris,Despatch,30000,Pick
LaSu1416Bl,"Laptop Susa 14"" 16GB RAM Black",Laptop,Susa,"14""",16GB RAM,Black,16*1*1,16,BN52D,Jane,Despatch,30007,Pick
GaXELAdGr,Gaming Chair XENO L Adjustable Grey,Gaming Chair,XENO,L,Adjustable,Grey,16*1*1,16,AZ31B,Amy,Despatch,30029,Pick
TVEs75S4Si,"TV Esnesih 75"" S4K Silver",TV,Esnesih,"75""",S4K,Silver,8*1*1,3,CY36A,Amy,Despatch,30091,Pick
DrTE90LoGr,Drawer TEWOL 900 Locker Grey,Drawer,TEWOL,900,Locker,Grey,8*1*1,8,BK65D,Jane,Despatch,30007,Pick
OfSESHeGr,Office Chair SEWOL S Head pillow Grey,Office Chair,SEWOL,S,Head pillow,Grey,16*1*1,16,DP93F,Chris,Despatch,30064,Pick
PeGi24SoWh,Pencil Gib 24 Soluble White,Pencil,Gib,24,Soluble,White,48*10*5,181,AQ86B,Laura,Despatch,30074,Pick
TaTR15FrSi,Table TRAMK 1500 Frame Silver,Table,TRAMK,1500,Frame,Silver,8*1*1,2,BP35A,Alex,Despatch,30044,Pick
TaCI18AdSi,Table CITSATNAF 1800 Adjustable Silver,Table,CITSATNAF,1800,Adjustable,Silver,8*1*1,5,DU03F,Alex,Despatch,30070,Pick
PrNoA2AlGr,Printer Nospe A2 All-in-one Grey,Printer,Nospe,A2,All-in-one,Grey,16*1*1,16,CX39E,Sarah,Despatch,30038,Pick
PrNoA4LaBl,Printer Nospe A4 Laser Black,Printer,Nospe,A4,Laser,Black,16*1*1,16,BQ02A,Emily,Despatch,30060,Pick
DrQE18FiBe,Drawer QEKI 1800 Filing Beige,Drawer,QEKI,1800,Filing,Beige,8*1*1,8,CO76C,Chris,Despatch,30056,Pick
NoScA5doGr,Notebook Scrap A5 dot Grey,Notebook,Scrap,A5,dot,Grey,48*10*5,2400,DH74H,Sarah,Despatch,30099,Pick
DrTE90FiWh,Drawer TEWOL 900 Filing White,Drawer,TEWOL,900,Filing,White,8*1*1,1,CY75D,Chris,Despatch,30080,Pick
KeRe27WiPi,Keyboard Rerar 270 Wireled Pink,Keyboard,Rerar,270,Wireled,Pink,16*10*1,123,BP50B,Alex,Despatch,30048,Pick
SPGi50WaWh,SPen Gib 50 Watercolour White,SPen,Gib,50,Watercolour,White,48*10*5,2296,BW78E,David,Despatch,30062,Pick
MoPH45MeBl,Mouse PH 450 Mechanical Black,Mouse,PH,450,Mechanical,Black,16*10*1,160,DL73A,Chris,Despatch,30007,Pick
PeRe12SoGr,Pencil Reldeats 12 Soluble Grey,Pencil,Reldeats,12,Soluble,Grey,48*10*5,257,CJ80A,Amy,Despatch,30039,Pick
SPAl50SoWh,SPen Aloyarc 50 Soluble White,SPen,Aloyarc,50,Soluble,White,48*10*5,2018,CF08A,Sarah,Despatch,30080,Pick
PrReA3MoWh,Printer Rehtorb A3 Mono White,Printer,Rehtorb,A3,Mono,White,16*1*1,16,BV09H,Laura,Despatch,30025,Pick
CaTE90DoBe,Cabinet TEWOL 900 Door Beige,Cabinet,TEWOL,900,Door,Beige,8*1*1,8,DJ23A,Chris,Despatch,30014,Pick
LaOv14i5Gr,"Laptop Ovonel 14"" i5 Grey",Laptop,Ovonel,"14""",i5,Grey,16*1*1,7,BP13H,Amy,Despatch,30037,Pick
NoScA3liGr,Notebook Scrap A3 line Grey,Notebook,Scrap,A3,line,Grey,48*10*5,2400,BQ44H,Amy,Despatch,30033,Pick
KeSu35WiWh,Keyboard Susa 350 Wireled White,Keyboard,Susa,350,Wireled,White,16*10*1,160,DK79D,David,Despatch,30021,Pick
AlSu178GSi,"All-in-one Susa 17"" 8GB RAM Silver",All-in-one,Susa,"17""",8GB RAM,Silver,16*1*1,8,BY85H,Alex,Despatch,30057,Pick
AlSu15i5Bl,"All-in-one Susa 15"" i5 Black",All-in-one,Susa,"15""",i5,Black,16*1*1,16,DP53A,Jane,Despatch,30001,Pick
MoSu35ErWh,Mouse Susa 350 Ergonomic White,Mouse,Susa,350,Ergonomic,White,16*10*1,149,CT29A,Mike,Despatch,30009,Pick
SPAl12WaPi,SPen Aloyarc 12 Watercolour Pink,SPen,Aloyarc,12,Watercolour,Pink,48*10*5,1545,CP61A,Chris,Despatch,30078,Pick
TaTR18WoWh,Table TRAMA 1800 Workstation White,Table,TRAMA,1800,Workstation,White,8*1*1,7,DY30G,Amy,Despatch,30005,Pick
PrSoA2LaGr,Printer Sonac A2 Laser Grey,Printer,Sonac,A2,Laser,Grey,16*1*1,16,DJ64D,David,Despatch,30001,Pick
AlPH1732Wh,"All-in-one PH 17"" 32GB RAM White",All-in-one,PH,"17""",32GB RAM,White,16*1*1,16,CT41E,Alex,Despatch,30092,Pick
PeAl24WaWh,Pencil Aloyarc 24 Watercolour White,Pencil,Aloyarc,24,Watercolour,White,48*10*5,2400,AL10H,Alex,Despatch,30026,Pick
DrWE18LoGr,Drawer WENO 1800 Locker Grey,Drawer,WENO,1800,Locker,Grey,8*1*1,5,CF69A,John,Despatch,30018,Pick
GaOGMHeWh,Gaming Chair OGAP M Head pillow White,Gaming Chair,OGAP,M,Head pillow,White,16*1*1,16,DT78C,Jane,Despatch,30066,Pick
CuWE18FiWh,Cupboard WENO 1800 Filing White,Cupboard,WENO,1800,Filing,White,8*1*1,6,CQ39D,Chris,Despatch,30044,Pick
GaSEMHeWh,Gaming Chair SEWOL M Head pillow White,Gaming Chair,SEWOL,M,Head pillow,White,16*1*1,4,DU41B,Alex,Despatch,30081,Pick
LaPH14i5Si,"Laptop PH 14"" i5 Silver",Laptop,PH,"14""",i5,Silver,16*1*1,16,AO60D,David,Despatch,30091,Pick
PrPHA4MoBl,Printer PH A4 Mono Black,Printer,PH,A4,Mono,Black,16*1*1,16,DQ56A,John,Despatch,30078,Pick
PrSoA3LaBl,Printer Sonac A3 Laser Black,Printer,Sonac,A3,Laser,Black,16*1*1,16,DR78D,David,Despatch,30078,Pick
NoExA5liBl,Notebook Excercise A5 line Black,Notebook,Excercise,A5,line,Black,48*10*5,2400,AH08A,Sarah,Despatch,30061,Pick
LaSu158GSi,"Laptop Susa 15"" 8GB RAM Silver",Laptop,Susa,"15""",8GB RAM,Silver,16*1*1,16,DM37H,Jane,Despatch,30036,Pick
CuQE90DoWh,Cupboard QEKI 900 Door White,Cupboard,QEKI,900,Door,White,8*1*1,4,AL36E,Sarah,Despatch,30090,Pick
PeAl50WaGr,Pencil Aloyarc 50 Watercolour Grey,Pencil,Aloyarc,50,Watercolour,Grey,48*10*5,2400,DL05H,Sarah,Despatch,30098,Pick
TVEs424KWh,"TV Esnesih 42"" 4K White",TV,Esnesih,"42""",4K,White,8*1*1,6,CZ28A,Chris,Despatch,30086,Pick
SPRe50SoBl,SPen Reldeats 50 Soluble Black,SPen,Reldeats,50,Soluble,Black,48*10*5,1261,AK98F,David,Despatch,30083,Pick
CaTE90FiWh,Cabinet TEWOL 900 Filing White,Cabinet,TEWOL,900,Filing,White,8*1*1,8,BW44E,Amy,Despatch,30081,Pick
PeNa12WaBl,Pencil Nalin 12 Watercolour Black,Pencil,Nalin,12,Watercolour,Black,48*10*5,2400,DM14E,Jane,Despatch,30087,Pick
AlYn17i7Bl,"All-in-one Ynos 17"" i7 Black",All-in-one,Ynos,"17""",i7,Black,16*1*1,12,AW81C,John,Despatch,30024,Pick
MoHc35ErWh,Mouse Hcetigol 350 Ergonomic White,Mouse,Hcetigol,350,Ergonomic,White,16*10*1,18,CI02F,John,Despatch,30088,Pick
LaOv1732Bl,"Laptop Ovonel 17"" 32GB RAM Black",Laptop,Ovonel,"17""",32GB RAM,Black,16*1*1,16,DR09H,Emily,Despatch,30064,Pick
LaPH15i5Wh,"Laptop PH 15"" i5 White",Laptop,PH,"15""",i5,White,16*1*1,1,AQ57D,David,Despatch,30032,Pick
AlYn1732Gr,"All-in-one Ynos 17"" 32GB RAM Grey",All-in-one,Ynos,"17""",32GB RAM,Grey,16*1*1,12,AL28G,Laura,Despatch,30085,Pick
CaTE90FiWh,Cabinet TEWOL 900 Filing White,Cabinet,TEWOL,900,Filing,White,8*1*1,8,BR70B,Alex,Despatch,30019,Pick
SPAl12WaWh,SPen Aloyarc 12 Watercolour White,SPen,Aloyarc,12,Watercolour,White,48*10*5,1119,DY34A,Amy,Despatch,30004,Pick
KeSu35ErBl,Keyboard Susa 350 Ergonomic Black,Keyboard,Susa,350,Ergonomic,Black,16*10*1,34,BF50D,Laura,Despatch,30005,Pick
MoHc27BlNa,Mouse Hcetigol 270 Bluetooth Navi,Mouse,Hcetigol,270,Bluetooth,Navi,16*10*1,160,AO78F,John,Despatch,30064,Pick
CuRG90LoGr,Cupboard RGAP 900 Locker Grey,Cupboard,RGAP,900,Locker,Grey,8*1*1,1,CZ43D,Amy,Despatch,30031,Pick
OfOGSAdBl,Office Chair OGAP S Adjustable Black,Office Chair,OGAP,S,Adjustable,Black,16*1*1,13,BY49E,John,Despatch,30023,Pick
AlSu1716Wh,"All-in-one Susa 17"" 16GB RAM White",All-in-one,Susa,"17""",16GB RAM,White,16*1*1,16,AS11A,Amy,Despatch,30053,Pick
PrPHA4LaWh,Printer PH A4 Laser White,Printer,PH,A4,Laser,White,16*1*1,1,CW03F,Jane,Despatch,30000,Pick
KeSu27WiNa,Keyboard Susa 270 Wireled Navi,Keyboard,Susa,270,Wireled,Navi,16*10*1,71,BY50B,John,Despatch,30022,Pick
