Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,From,Task
NoGrA3ruGr,Notebook Graph A3 ruled Grey,Notebook,Graph,A3,ruled,Grey,48*10*5,2400,AZ18D,David,Receive,Put away
LaYn1516Gr,"Laptop Ynos 15"" 16GB RAM Grey",Laptop,Ynos,"15""",16GB RAM,Grey,16*1*1,16,AK74D,Amy,Receive,Put away
PeRe12SoWh,Pencil Reldeats 12 Soluble White,Pencil,Reldeats,12,Soluble,White,48*10*5,2400,CZ78G,Emily,Receive,Put away
TaTR15AuWh,Table TRAMA 1500 Auto Adjustable White,Table,TRAMA,1500,Auto Adjustable,White,8*1*1,8,AY91D,David,Receive,Put away
AlOv178GGr,"All-in-one Ovonel 17"" 8GB RAM Grey",All-in-one,Ovonel,"17""",8GB RAM,Grey,16*1*1,16,DK07B,Amy,Receive,Put away
CaWE90LoWh,Cabinet WENO 900 Locker White,Cabinet,WENO,900,Locker,White,8*1*1,8,DL18E,Laura,Receive,Put away
PeRe12SoBl,Pencil Reldeats 12 Soluble Black,Pencil,Reldeats,12,Soluble,Black,48*10*5,2400,BT55H,Laura,Receive,Put away
PeAl24HeWh,Pencil Aloyarc 24 Hexagonal White,Pencil,Aloyarc,24,Hexagonal,White,48*10*5,2400,CZ42A,Mike,Receive,Put away
GaXEMHePi,Gaming Chair XENO M Head pillow Pink,Gaming Chair,XENO,M,Head pillow,Pink,16*1*1,16,CZ43C,Amy,Receive,Put away
CaRG18LoBl,Cabinet RGAP 1800 Locker Black,Cabinet,RGAP,1800,Locker,Black,8*1*1,8,BL45F,Emily,Receive,Put away
TVEs42SFGr,"TV Esnesih 42"" SFHD Grey",TV,Esnesih,"42""",SFHD,Grey,8*1*1,8,AT98G,Emily,Receive,Put away
DrTE18DoGr,Drawer TEWOL 1800 Door Grey,Drawer,TEWOL,1800,Door,Grey,8*1*1,8,CP24H,Emily,Receive,Put away
SPRe12WaBl,SPen Reldeats 12 Watercolour Black,SPen,Reldeats,12,Watercolour,Black,48*10*5,2400,AU38D,Chris,Receive,Put away
DrQE18FiBe,Drawer QEKI 1800 Filing Beige,Drawer,QEKI,1800,Filing,Beige,8*1*1,8,DL96G,Chris,Receive,Put away
MoHc45ErPi,Mouse Hcetigol 450 Ergonomic Pink,Mouse,Hcetigol,450,Ergonomic,Pink,16*10*1,160,AP19C,David,Receive,Put away
AlSu1732Bl,"All-in-one Susa 17"" 32GB RAM Black",All-in-one,Susa,"17""",32GB RAM,Black,16*1*1,16,DF23D,Sarah,Receive,Put away
CuWE90LoGr,Cupboard WENO 900 Locker Grey,Cupboard,WENO,900,Locker,Grey,8*1*1,8,AF57A,Amy,Receive,Put away
GaSESLePi,Gaming Chair SEWOL S Leather Pink,Gaming Chair,SEWOL,S,Leather,Pink,16*1*1,16,AT76F,John,Receive,Put away
TVGL75S4Wh,"TV GL 75"" S4K White",TV,GL,"75""",S4K,White,8*1*1,8,AH16A,Alex,Receive,Put away
AlPH1516Bl,"All-in-one PH 15"" 16GB RAM Black",All-in-one,PH,"15""",16GB RAM,Black,16*1*1,16,DM09H,David,Receive,Put away
KeRe35BlBl,Keyboard Rerar 350 Bluetooth Black,Keyboard,Rerar,350,Bluetooth,Black,16*10*1,160,AH14E,Mike,Receive,Put away
OfXEMErPi,Office Chair XENO M Ergonomic Pink,Office Chair,XENO,M,Ergonomic,Pink,16*1*1,16,BK34A,Alex,Receive,Put away
CaWE90SlBe,Cabinet WENO 900 Sliding Beige,Cabinet,WENO,900,Sliding,Beige,8*1*1,8,AG98E,Sarah,Receive,Put away
SPGi50SoWh,SPen Gib 50 Soluble White,SPen,Gib,50,Soluble,White,48*10*5,2400,CJ83E,Sarah,Receive,Put away
KeSu27MePi,Keyboard Susa 270 Mechanical Pink,Keyboard,Susa,270,Mechanical,Pink,16*10*1,160,BP83B,David,Receive,Put away
PeRe50SoWh,Pencil Reldeats 50 Soluble White,Pencil,Reldeats,50,Soluble,White,48*10*5,2400,AS25B,Mike,Receive,Put away
PrNoA3AlWh,Printer Nospe A3 All-in-one White,Printer,Nospe,A3,All-in-one,White,16*1*1,16,BZ03A,Alex,Receive,Put away
TVYn32SFSi,"TV Ynos 32"" SFHD Silver",TV,Ynos,"32""",SFHD,Silver,8*1*1,8,CM51H,Mike,Receive,Put away
LaSu15i5Si,"Laptop Susa 15"" i5 Silver",Laptop,Susa,"15""",i5,Silver,16*1*1,16,BL12G,Mike,Receive,Put away
LaSu14i5Si,"Laptop Susa 14"" i5 Silver",Laptop,Susa,"14""",i5,Silver,16*1*1,16,DU10B,David,Receive,Put away
MoPH45WiNa,Mouse PH 450 Wireled Navi,Mouse,PH,450,Wireled,Navi,16*10*1,160,AQ53G,Chris,Receive,Put away
GaSELHeWh,Gaming Chair SEWOL L Head pillow White,Gaming Chair,SEWOL,L,Head pillow,White,16*1*1,16,BP28C,John,Receive,Put away
NoScA3doSi,Notebook Scrap A3 dot Silver,Notebook,Scrap,A3,dot,Silver,48*10*5,2400,CQ98H,Jane,Receive,Put away
CuRG12LoBl,Cupboard RGAP 1200 Locker Black,Cupboard,RGAP,1200,Locker,Black,8*1*1,8,BG81C,Alex,Receive,Put away
CuTE18FiBe,Cupboard TEWOL 1800 Filing Beige,Cupboard,TEWOL,1800,Filing,Beige,8*1*1,8,DL06B,Jane,Receive,Put away
TVEs50S4Wh,"TV Esnesih 50"" S4K White",TV,Esnesih,"50""",S4K,White,8*1*1,8,AJ45G,Sarah,Receive,Put away
DrWE90FiBl,Drawer WENO 900 Filing Black,Drawer,WENO,900,Filing,Black,8*1*1,8,AK24F,Amy,Receive,Put away
TVYn32SFWh,"TV Ynos 32"" SFHD White",TV,Ynos,"32""",SFHD,White,8*1*1,8,AZ09D,David,Receive,Put away
KePH45ErPi,Keyboard PH 450 Ergonomic Pink,Keyboard,PH,450,Ergonomic,Pink,16*10*1,160,AK75F,John,Receive,Put away
TVYn32SFWh,"TV Ynos 32"" SFHD White",TV,Ynos,"32""",SFHD,White,8*1*1,8,AI69C,Mike,Receive,Put away
CaRG90LoBe,Cabinet RGAP 900 Locker Beige,Cabinet,RGAP,900,Locker,Beige,8*1*1,8,BW45C,Laura,Receive,Put away
PrReA3InWh,Printer Rehtorb A3 Inkjet White,Printer,Rehtorb,A3,Inkjet,White,16*1*1,16,DL32G,Mike,Receive,Put away
SPNa12SoGr,SPen Nalin 12 Soluble Grey,SPen,Nalin,12,Soluble,Grey,48*10*5,2400,AM05H,Jane,Receive,Put away
CaTE90FiGr,Cabinet TEWOL 900 Filing Grey,Cabinet,TEWOL,900,Filing,Grey,8*1*1,8,CI14E,Alex,Receive,Put away
TVEs42FHBl,"TV Esnesih 42"" FHD Black",TV,Esnesih,"42""",FHD,Black,8*1*1,8,CI59D,Chris,Receive,Put away
TaCI10WoWh,Table CITSATNAF 1000 Workstation White,Table,CITSATNAF,1000,Workstation,White,8*1*1,8,AU79D,Chris,Receive,Put away
TaTR15WoWh,Table TRAMK 1500 Workstation White,Table,TRAMK,1500,Workstation,White,8*1*1,8,BF14A,Amy,Receive,Put away
PrSoA4MoMi,Printer Sonac A4 Mono Mix,Printer,Sonac,A4,Mono,Mix,16*1*1,16,AO62C,Emily,Receive,Put away
TaAE18AdBl,Table AEKI 1800 Adjustable Black,Table,AEKI,1800,Adjustable,Black,8*1*1,8,AG23D,John,Receive,Put away
LaOv14i5Bl,"Laptop Ovonel 14"" i5 Black",Laptop,Ovonel,"14""",i5,Black,16*1*1,16,CH37F,Sarah,Receive,Put away
CuWE12DoBe,Cupboard WENO 1200 Door Beige,Cupboard,WENO,1200,Door,Beige,8*1*1,8,BF10E,Sarah,Receive,Put away
