Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,To,Customer,Task
CuRG90DoBl,Cupboard RGAP 900 Door Black,Cupboard,RGAP,900,Door,Black,8*1*1,1,AX91E,Sarah,Despatch,30076,Pick
GaSELLeGr,Gaming Chair SEWOL L Leather Grey,Gaming Chair,SEWOL,L,Leather,Grey,16*1*1,16,DL38E,David,Despatch,30080,Pick
DrTE18FiWh,Drawer TEWOL 1800 Filing White,Drawer,TEWOL,1800,Filing,White,8*1*1,8,AL63B,John,Despatch,30088,Pick
AlSu14i5Gr,"All-in-one Susa 14"" i5 Grey",All-in-one,Susa,"14""",i5,Grey,16*1*1,16,DF48B,Mike,Despatch,30020,Pick
AlSu1732Bl,"All-in-one Susa 17"" 32GB RAM Black",All-in-one,Susa,"17""",32GB RAM,Black,16*1*1,16,DS89C,Amy,Despatch,30060,Pick
DrTE18LoWh,Drawer TEWOL 1800 Locker White,Drawer,TEWOL,1800,Locker,White,8*1*1,8,BQ89A,Jane,Despatch,30038,Pick
CuQE90DoBl,Cupboard QEKI 900 Door Black,Cupboard,QEKI,900,Door,Black,8*1*1,8,AN78B,Sarah,Despatch,30089,Pick
KeHc45BlPi,Keyboard Hcetigol 450 Bluetooth Pink,Keyboard,Hcetigol,450,Bluetooth,Pink,16*10*1,65,DG61H,David,Despatch,30088,Pick
AlPH1732Gr,"All-in-one PH 17"" 32GB RAM Grey",All-in-one,PH,"17""",32GB RAM,Grey,16*1*1,16,BH05B,Sarah,Despatch,30053,Pick
DrRG12SlWh,Drawer RGAP 1200 Sliding White,Drawer,RGAP,1200,Sliding,White,8*1*1,8,DR77H,Emily,Despatch,30056,Pick
KeRe27MePi,Keyboard Rerar 270 Mechanical Pink,Keyboard,Rerar,270,Mechanical,Pink,16*10*1,160,AZ23F,Sarah,Despatch,30087,Pick
PeNa24WaPi,Pencil Nalin 24 Watercolour Pink,Pencil,Nalin,24,Watercolour,Pink,48*10*5,2400,AU06D,Amy,Despatch,30059,Pick
TaTR15FrBl,Table TRAMK 1500 Frame Black,Table,TRAMK,1500,Frame,Black,8*1*1,8,DJ11F,Amy,Despatch,30059,Pick
GaSESAdBl,Gaming Chair SEWOL S Adjustable Black,Gaming Chair,SEWOL,S,Adjustable,Black,16*1*1,4,CZ45A,Amy,Despatch,30077,Pick
OfAELLeGr,Office Chair AEKI L Leather Grey,Office Chair,AEKI,L,Leather,Grey,16*1*1,11,DF50D,Amy,Despatch,30023,Pick
AlYn1416Wh,"All-in-one Ynos 14"" 16GB RAM White",All-in-one,Ynos,"14""",16GB RAM,White,16*1*1,16,AF16A,Alex,Despatch,30076,Pick
OfAESErGr,Office Chair AEKI S Ergonomic Grey,Office Chair,AEKI,S,Ergonomic,Grey,16*1*1,6,BF10F,Amy,Despatch,30026,Pick
OfOGLLePi,Office Chair OGAP L Leather Pink,Office Chair,OGAP,L,Leather,Pink,16*1*1,14,CG19H,John,Despatch,30025,Pick
LaOv1416Gr,"Laptop Ovonel 14"" 16GB RAM Grey",Laptop,Ovonel,"14""",16GB RAM,Grey,16*1*1,11,DQ86F,Laura,Despatch,30017,Pick
